ID,Name,Tier,Time,Desc,Agents,Gladia,AgentsID,GladiaID,Drop
CC00001,신선한 고치,1,6,"결정화 된지 오래 지나지 않은 고치.
봉인이 단단하다.
최근 조난당한 사람이 들어있으리라 예상된다.","""메이드 아쳐"",""로엔 돌격병"",""견습 창기사"",""로엔 강습병"",""목공조합 철거기사"",""가시선인장""",,"AG01001,AG01010,AG01007,AG01021,AG01003,AG01004",,"FREE0101,FREE0102,FREE0103,FREE0104"
CC00001_1,무덤 고치,5,1,"무덤에서 발견된 고치.
특별한 힘을 가진 광물이 들어있다고 한다.",,"""아쿠아마린 원석"",""붉은색 원석"",""분홍빛 원석"",""하울라이트 원석"",""투어멀린 원석""",,"GD00037,GD00052,GD00043,GD00025,GD00022","HUNT0504,HUNT0505"
CC00002,그래핀 고치,1,6,그래핀 둥지에서 발견한 고치,"""소드테스터"",""로엔 돌격병"",""견습 창기사"",""로엔 강습병"",""목공조합 철거기사"",""가시선인장""",,"AG01006,AG01010,AG01007,AG01021,AG01003,AG01004",,HUNT0101
CC00003,또다른 무덤 고치,5,1,"무덤에서 발견된 고치.
특별한 힘을 가진 광물이 들어있다고 한다.",,"""보랏빛 원석"",""하얀색 가루"",""초록색 돌"",""불투명한 파란돌"",""로즈 다이아 원석""",,"GD00080,GD00068,GD00065,GD00034,GD00028","HUNT0505,HUNT0518"
CC00004,,,,,,,,,
CC00005,빙벽 고치,2,12,결정화 된지 ,"""에코코 권술사"",""견습 궁수"",""연금술사""",,"AG01012,AG02022,AG02024",,FREE0201
CC00005_1,떠다니던 고치,3,12,코발트 아이기스 위를 둥둥 떠다니던 고치.,"""야오 페이"",""바우엘"",""제리코"",""메이드 아쳐"",""소드테스터"",""견습 중보병"",""눈빛수도원 복사"",""목공조합 철거기사"",""로엔 돌격병"",""로엔 강습병"",""연금술사""",,"AG03037,AG03038,AG03042,AG01001,AG01006,AG01029,AG01009,AG01003,AG01010,AG01021,AG02024",,"FREE0301,FREE0302,HUNT0301,HUNT0302,HUNT0303,HUNT0304,HUNT0305,HUNT0306,HUNT0307,FREE0303,FREE0305,RAID0401"
CC00005_2,호수 고치,3,1,"호수에서 발견된 고치.
특별한 힘을 가진 광물이 들어있다고 한다.",,"""불투명한 파란돌"",""하울라이트 원석"",""투어멀린 원석"",""앨러배스터 원석"",""묘안석 원석""",,"GD00034,GD00025,GD00022,GD00019,GD00016","HUNT0313,HUNT0314"
CC00005_3,눈에서 발굴한 고치,2,12,"눈이 덮인 지역에서 발견된 고치.
거친 환경에 방치되어서인지, 상당히 마모되어 있다.","""라무"",""에코코 권술사"",""돌탄 전사"",""로엔 돌격병"",""견습 창기사"",""로엔 강습병"",""목공조합 철거기사"",""가시선인장"",""견습 궁수"",""연금술사""",,"AG02033,AG01012,AG01011,AG01010,AG01007,AG01021,AG01003,AG01004,AG02022,AG02024",,"FREE0202,HUNT0204,HUNT0205,HUNT0206"
CC00006,딱딱한 고치,1,6,"글레이저가 보유하고 있던 고치.
오래 방치되어 고치 외피가 딱딱해 졌다.
특별한 힘을 가진 요원이 있을 가능성이 있다.","""견습 중보병"",""로엔 돌격병"",""견습 창기사"",""로엔 강습병"",""목공조합 철거기사"",""가시선인장""",,"AG01029,AG01010,AG01007,AG01021,AG01003,AG01004",,
